Mostres_ESP32,Valor1_mV, Valor2_mV
1,80, 0
2,38, 47
3,22, 19
4,25, 0
5,29, 0
6,41, 0
7,63, 4
8,76, 0
9,75, 0
10,75, 0
11,80, 0
12,76, 0
13,79, 0
14,68, 0
15,80, 0
16,70, 0
17,73, 0
18,89, 0
19,79, 0
20,78, 0
21,83, 0
22,92, 0
23,86, 0
24,84, 0
25,83, 0
26,89, 0
27,84, 0
28,88, 0
29,89, 0
30,92, 0
31,87, 0
32,69, 0
33,48, 0
34,52, 0
35,48, 0
36,60, 0
37,83, 0
38,103, 0
39,108, 0
40,106, 0
41,105, 0
42,100, 0
43,103, 0
44,104, 0
45,92, 0
46,91, 0
47,105, 0
48,95, 0
49,87, 0
50,89, 0
51,87, 0
52,89, 0
53,80, 0
54,83, 0
55,80, 0
56,77, 0
57,70, 0
58,72, 0
59,70, 0
60,76, 0
61,69, 0
62,57, 0
63,36, 0
64,25, 0
65,25, 0
66,32, 0
67,51, 0
68,70, 3
69,106, 0
70,85, 0
71,81, 0
72,79, 0
73,73, 0
74,78, 0
75,69, 0
76,76, 0
77,75, 0
78,76, 0
79,83, 0
80,81, 0
81,78, 0
82,79, 0
83,83, 0
84,86, 0
85,78, 0
86,83, 0
87,85, 0
88,78, 0
89,86, 0
90,86, 0
91,81, 0
92,83, 0
93,71, 0
94,57, 0
95,51, 0
96,46, 0
97,63, 0
98,89, 0
99,107, 0
100,108, 0
101,105, 0
102,106, 0
103,99, 0
104,92, 0
105,96, 0
106,95, 2
107,94, 0
108,83, 0
109,91, 0
110,89, 0
111,94, 0
112,89, 0
113,83, 0
114,76, 0
115,80, 0
116,77, 0
117,76, 0
118,63, 0
119,67, 0
120,65, 0
121,65, 0
122,64, 0
123,48, 0
124,31, 0
125,25, 0
126,24, 0
127,25, 0
128,43, 0
129,61, 0
130,76, 0
131,79, 0
132,77, 0
133,74, 0
134,71, 0
135,74, 0
136,79, 0
137,78, 0
138,70, 0
139,81, 0
140,86, 0
141,81, 0
142,72, 0
143,77, 0
144,81, 0
145,87, 0
146,84, 0
147,83, 0
148,87, 0
149,90, 0
150,89, 0
151,90, 0
152,90, 0
153,78, 0
154,59, 0
155,42, 0
156,41, 0
157,51, 0
158,53, 0
159,77, 0
160,95, 0
161,101, 0
162,104, 0
163,100, 0
164,100, 0
165,91, 0
166,97, 0
167,90, 0
168,116, 0
169,92, 0
170,86, 2
171,85, 0
172,79, 0
173,83, 0
174,75, 0
175,79, 0
176,74, 0
177,76, 0
178,76, 0
179,68, 0
180,70, 0
181,64, 0
182,57, 0
183,69, 0
184,48, 0
185,30, 24
186,13, 25
187,13, 1
188,20, 0
189,38, 0
190,65, 0
191,74, 0
192,77, 0
193,77, 0
194,76, 0
195,68, 0
196,74, 0
197,70, 0
198,73, 0
199,76, 0
200,73, 0
201,76, 0
202,71, 0
203,70, 0
204,76, 0
205,80, 0
206,76, 0
207,77, 0
208,79, 0
209,77, 0
210,74, 0
211,81, 0
212,85, 0
213,83, 0
214,76, 0
215,53, 0
216,35, 0
217,32, 0
218,38, 0
219,48, 0
220,71, 0
221,91, 0
222,94, 0
223,94, 0
224,79, 0
225,81, 0
226,79, 0
227,79, 0
228,80, 0
229,77, 0
230,81, 0
231,78, 0
232,77, 0
233,94, 0
234,78, 0
235,74, 0
236,73, 0
237,73, 0
238,70, 0
239,72, 0
240,68, 0
241,72, 0
242,76, 0
243,71, 0
244,69, 0
245,57, 0
246,31, 0
247,20, 7
248,18, 0
249,21, 3
250,38, 0
251,54, 0
252,89, 0
253,70, 0
254,65, 0
255,64, 0
256,70, 0
257,68, 0
258,58, 0
259,70, 0
260,65, 0
261,67, 0
262,70, 0
263,73, 0
264,71, 0
265,78, 0
266,83, 0
267,76, 0
268,77, 0
269,91, 0
270,78, 0
271,83, 0
272,78, 0
273,92, 0
274,89, 0
275,83, 0
276,61, 0
277,51, 0
278,40, 0
279,42, 0
280,51, 0
281,81, 0
282,101, 0
283,104, 0
284,107, 0
285,104, 0
286,97, 0
287,92, 0
288,89, 0
289,100, 0
290,93, 0
291,96, 0
292,90, 0
293,90, 0
294,89, 0
295,84, 0
296,71, 0
297,77, 0
298,84, 0
299,72, 0
300,73, 0
301,71, 0
302,59, 0
303,67, 0
304,61, 0
305,67, 0
306,44, 0
307,28, 0
308,19, 0
309,14, 0
310,19, 0
311,36, 0
312,59, 0
313,68, 0
314,78, 0
315,80, 0
316,74, 0
317,74, 0
318,71, 0
319,76, 0
320,76, 0
321,77, 0
322,67, 0
323,78, 0
324,78, 0
325,87, 0
326,80, 0
327,89, 0
328,84, 0
329,84, 0
330,83, 0
331,75, 0
332,79, 0
333,78, 0
334,70, 0
335,75, 0
336,73, 0
337,55, 0
338,41, 0
339,46, 0
340,46, 0
341,55, 0
342,80, 0
343,90, 0
344,91, 0
345,101, 0
346,118, 0
347,96, 0
348,101, 0
349,85, 0
350,94, 0
351,89, 0
352,92, 0
353,84, 0
354,85, 0
355,81, 0
356,79, 0
357,75, 0
358,71, 0
359,72, 0
360,70, 0
361,74, 0
362,70, 0
363,67, 0
364,70, 0
365,59, 0
366,62, 0
367,38, 0
368,25, 0
369,11, 0
370,12, 0
371,17, 0
372,32, 0
373,57, 0
374,58, 0
375,65, 0
376,69, 0
377,70, 0
378,70, 0
379,70, 0
380,69, 0
381,63, 0
382,69, 0
383,57, 0
384,72, 0
385,70, 0
386,72, 0
387,73, 0
388,76, 0
389,70, 0
390,69, 0
391,73, 0
392,73, 0
393,74, 0
394,80, 0
395,77, 0
396,80, 0
397,71, 0
398,52, 0
399,40, 0
400,31, 0
401,36, 0
402,50, 0
403,95, 0
404,83, 0
405,96, 0
406,100, 0
407,92, 0
408,95, 0
409,94, 0
410,96, 0
411,95, 0
412,93, 0
413,91, 0
414,83, 0
415,78, 0
416,76, 0
417,75, 0
418,77, 0
419,65, 0
420,68, 0
421,67, 0
422,68, 0
423,57, 0
424,63, 0
425,61, 6
426,63, 0
427,59, 0
428,44, 0
429,24, 0
430,12, 0
431,10, 22
432,15, 0
433,30, 0
434,54, 0
435,65, 0
436,64, 0
437,68, 0
438,67, 0
439,67, 0
440,71, 0
441,76, 0
442,67, 0
443,69, 0
444,71, 0
445,72, 0
446,70, 0
447,74, 0
448,70, 0
449,81, 0
450,75, 0
451,67, 0
452,79, 0
453,79, 0
454,87, 0
455,81, 0
456,81, 0
457,84, 0
458,74, 0
459,50, 0
460,40, 0
461,47, 0
462,40, 0
463,57, 0
464,73, 0
465,93, 0
466,101, 0
467,104, 0
468,95, 0
469,101, 0
470,89, 0
471,92, 0
472,95, 0
473,91, 0
474,90, 0
475,78, 0
476,74, 0
477,83, 0
478,77, 0
479,70, 0
480,76, 0
481,70, 0
482,74, 0
483,70, 0
484,67, 0
485,70, 0
486,70, 0
487,61, 0
488,62, 0
489,43, 0
490,24, 6
491,12, 0
492,12, 0
493,19, 0
494,39, 0
495,57, 0
496,90, 0
497,74, 0
498,78, 0
499,75, 0
500,75, 0
501,70, 0
502,71, 0
503,74, 0
504,69, 0
505,76, 0
506,68, 0
507,72, 0
508,67, 0
509,80, 0
510,81, 0
511,90, 0
512,77, 0
513,71, 0
514,81, 0
515,88, 0
516,81, 0
517,78, 0
518,100, 0
519,79, 0
520,60, 0
521,45, 0
522,40, 0
523,38, 0
524,48, 0
525,74, 0
526,95, 0
527,101, 0
528,103, 0
529,96, 0
530,96, 0
531,92, 0
532,92, 0
533,91, 0
534,94, 0
535,89, 0
536,86, 0
537,68, 0
538,85, 0
539,75, 0
540,84, 0
541,72, 0
542,67, 0
543,78, 0
544,74, 0
545,67, 0
546,64, 0
547,61, 0
548,70, 0
549,59, 0
550,44, 0
551,25, 0
552,12, 7
553,12, 0
554,17, 0
555,34, 0
556,57, 0
557,70, 0
558,76, 0
559,70, 0
560,70, 0
561,62, 0
562,70, 0
563,69, 0
564,72, 0
565,63, 0
566,86, 0
567,72, 0
568,70, 0
569,70, 0
570,77, 0
571,78, 0
572,76, 0
573,76, 0
574,88, 0
575,83, 0
576,83, 0
577,81, 0
578,88, 0
579,89, 0
580,80, 0
581,61, 0
582,42, 0
583,51, 0
584,46, 0
585,62, 0
586,83, 0
587,97, 0
588,107, 0
589,102, 0
590,94, 0
591,96, 0
592,85, 0
593,97, 0
594,95, 2
595,90, 0
596,95, 0
597,91, 0
598,85, 0
599,91, 0
600,93, 0
601,86, 0
602,76, 0
603,83, 0
604,80, 0
605,81, 0
606,78, 0
607,76, 0
608,76, 0
609,74, 0
610,74, 0
611,56, 0
612,38, 0
613,21, 0
614,26, 0
615,35, 0
616,46, 0
617,67, 0
618,88, 0
619,81, 0
620,78, 0
621,65, 0
622,76, 0
623,85, 0
624,83, 0
625,85, 0
626,89, 0
627,84, 0
628,83, 0
629,83, 0
630,95, 0
631,80, 0
632,81, 0
633,86, 0
634,80, 0
635,88, 0
636,83, 0
637,86, 0
638,91, 0
639,88, 0
640,92, 0
641,88, 0
642,64, 0
643,52, 0
644,47, 0
645,51, 0
646,62, 0
647,88, 0
648,92, 0
649,109, 0
650,108, 0
651,100, 0
652,102, 0
653,100, 0
654,95, 0
655,93, 0
656,95, 0
657,92, 0
658,89, 0
659,99, 0
660,86, 0
661,89, 0
662,80, 0
663,81, 0
664,76, 0
665,80, 0
666,69, 0
667,78, 0
668,83, 0
669,76, 0
670,68, 0
671,68, 0
672,46, 0
673,28, 0
674,39, 0
675,12, 0
676,18, 0
677,39, 0
678,57, 0
679,69, 0
680,69, 0
681,81, 0
682,69, 0
683,70, 0
684,74, 0
685,71, 0
686,71, 0
687,70, 0
688,76, 0
689,76, 0
690,74, 0
691,92, 0
692,80, 0
693,81, 0
694,83, 0
695,83, 0
696,85, 0
697,81, 0
698,87, 0
699,89, 0
700,108, 0
701,93, 0
702,89, 0
703,69, 0
704,51, 0
705,51, 0
706,53, 0
707,63, 0
708,87, 0
709,95, 0
710,102, 0
711,93, 0
712,92, 0
713,93, 0
714,84, 0
715,93, 0
716,85, 0
717,85, 0
718,84, 0
719,78, 0
720,79, 0
721,76, 0
722,79, 0
723,77, 0
724,74, 0
725,76, 0
726,67, 0
727,72, 0
728,70, 0
729,67, 0
730,63, 0
731,63, 0
732,55, 0
733,39, 0
734,25, 0
735,12, 19
736,12, 0
737,30, 0
738,40, 0
739,64, 0
740,85, 0
741,76, 0
742,70, 0
743,71, 0
744,68, 0
745,71, 0
746,72, 0
747,73, 0
748,74, 0
749,72, 0
750,75, 0
751,76, 0
752,72, 0
753,73, 0
754,75, 0
755,74, 0
756,70, 0
757,86, 0
758,78, 0
759,83, 0
760,85, 0
761,89, 0
762,88, 0
763,72, 0
764,57, 0
765,42, 0
766,43, 0
767,44, 0
768,56, 0
769,83, 0
770,102, 0
771,124, 0
772,106, 0
773,107, 0
774,99, 0
775,95, 0
776,93, 0
777,95, 0
778,95, 0
779,96, 0
780,88, 0
781,76, 0
782,80, 0
783,80, 0
784,77, 0
785,75, 0
786,76, 0
787,77, 0
788,74, 0
789,72, 0
790,72, 0
791,72, 0
792,73, 0
793,64, 0
794,45, 0
795,22, 0
796,17, 0
797,22, 0
798,26, 0
799,44, 0
800,64, 0
801,76, 0
802,72, 0
803,75, 0
804,77, 0
805,70, 0
806,73, 0
807,73, 0
808,72, 0
809,76, 0
810,70, 0
811,65, 0
812,69, 0
813,70, 0
814,67, 0
815,71, 0
816,70, 0
817,74, 0
818,73, 0
819,76, 0
820,89, 0
821,77, 0
822,77, 0
823,79, 0
824,70, 0
825,46, 0
826,37, 0
827,25, 0
828,38, 0
829,50, 0
830,78, 0
831,94, 0
832,102, 0
833,102, 0
834,83, 0
835,88, 0
836,91, 0
837,89, 0
838,89, 2
839,99, 0
840,86, 0
841,75, 0
842,71, 0
843,76, 0
844,76, 0
845,77, 0
846,70, 0
847,67, 0
848,70, 0
849,67, 0
850,60, 0
851,58, 0
852,50, 0
853,44, 0
854,47, 0
855,25, 0
856,12, 0
