Mostres_ESP32,Valor1_mV, Valor2_mV
1,144, 596
2,139, 543
3,134, 533
4,133, 535
5,128, 536
6,129, 536
7,135, 537
8,132, 532
9,125, 524
10,124, 529
11,122, 526
12,126, 530
13,122, 524
14,127, 527
15,122, 516
16,123, 523
17,126, 522
18,119, 519
19,118, 519
20,118, 523
21,120, 518
22,125, 519
23,123, 531
24,126, 517
25,121, 519
26,123, 515
27,115, 507
28,125, 518
29,117, 516
30,127, 512
31,126, 517
32,127, 519
33,121, 518
34,130, 524
35,128, 524
36,124, 518
37,125, 514
38,130, 525
39,133, 529
40,127, 527
41,131, 532
42,137, 529
43,130, 531
44,142, 540
45,142, 532
46,135, 536
47,142, 537
48,142, 540
49,143, 537
50,145, 541
51,139, 541
52,139, 541
53,147, 540
54,145, 546
55,145, 547
56,144, 538
57,143, 548
58,145, 542
59,133, 547
60,135, 556
61,144, 545
62,143, 542
63,135, 541
64,133, 547
65,141, 539
66,139, 535
67,131, 536
68,131, 536
69,133, 537
70,133, 533
71,133, 531
72,123, 526
73,129, 526
74,124, 529
75,123, 526
76,128, 524
77,125, 525
78,126, 519
79,118, 519
80,125, 519
81,123, 517
82,120, 514
83,119, 514
84,125, 512
85,123, 519
86,125, 516
87,125, 514
88,122, 522
89,123, 519
90,127, 523
91,127, 517
92,124, 517
93,122, 517
94,128, 519
95,128, 525
96,125, 521
97,125, 518
98,130, 530
99,131, 526
100,132, 524
101,121, 526
102,131, 519
103,136, 530
104,138, 531
105,139, 541
106,139, 525
107,140, 535
108,137, 533
109,136, 539
110,142, 535
111,143, 543
112,139, 541
113,139, 540
114,145, 540
115,145, 545
116,145, 547
117,144, 537
118,144, 558
119,145, 547
120,139, 546
121,139, 552
122,145, 543
123,139, 546
124,134, 541
125,134, 547
126,139, 539
127,135, 540
128,132, 536
129,138, 535
130,134, 533
131,129, 531
132,132, 513
133,123, 524
134,128, 526
135,124, 527
136,128, 524
137,120, 515
138,127, 525
139,127, 519
140,126, 519
141,118, 519
142,122, 516
143,121, 521
144,122, 519
145,117, 512
146,121, 516
147,117, 512
148,122, 517
149,123, 517
150,125, 517
151,121, 517
152,120, 521
153,126, 524
154,123, 530
155,128, 516
156,127, 523
157,123, 524
158,123, 521
159,130, 524
160,124, 524
161,127, 522
162,126, 527
163,133, 529
164,133, 529
165,132, 533
166,140, 535
167,138, 535
168,134, 540
